PId;group;sex;averageAMPs_q1;averageAMPs_q2;averageAMPs_q3;averageAMPs_q4;ratioWins_q1;ratioWins_q2;ratioWins_q3;ratioWins_q4;totalMatches_q1;totalMatches_q2;totalMatches_q3;totalMatches_q4;totalTime_q1;totalTime_q2;totalTime_q3;totalTime_q4;trainingMatchesLvl_Count_Very_Easy;trainingMatchesLvl_Count_Easy;trainingMatchesLvl_Count_Medium;trainingMatchesLvl_Count_Hard;trainingMatchesLvl_Count_Harder;trainingMatchesLvl_Count_Very_Hard;trainingMatchesLvl_Count_Elite;trainingMatchesLvl_Count_Cheater_1_Vision;trainingMatchesLvl_SQ_Very_Easy;trainingMatchesLvl_SQ_Easy;trainingMatchesLvl_SQ_Medium;trainingMatchesLvl_SQ_Hard;trainingMatchesLvl_SQ_Harder;trainingMatchesLvl_SQ_Very_Hard;trainingMatchesLvl_SQ_Elite;trainingMatchesLvl_SQ_Cheater_1_Vision;trainingMatchesLvl_Time_Very_Easy;trainingMatchesLvl_Time_Easy;trainingMatchesLvl_Time_Medium;trainingMatchesLvl_Time_Hard;trainingMatchesLvl_Time_Harder;trainingMatchesLvl_Time_Very_Hard;trainingMatchesLvl_Time_Elite;trainingMatchesLvl_Time_Cheater_1_Vision;trainingMatches;trainingTime;winCount;lossCount;winsRatio
339;1;2;19.74604776;28.10442399;42.7976785;52.70620734;0.777777778;0.625;0.466666667;0.625;18;16;15;16;23932;24338;23976;22465;6;13;23;22;1;;;;58.69111517;74.71908801;47.62207324;60.8583434;47.12651618;;;;6639;17996;37813;31165;1098;;;;65;94711;41;24;0.630769231
338;1;2;51.84788368;39.11144334;35.45727818;33.1462513;0.6;0.55;0.523809524;0.578947368;15;20;21;19;23344;23094;23291;20130;6;20;44;5;;;;;41.50967468;67.03099981;86.10328626;96.36829425;;;;;10332;26530;48359;4638;;;;;75;89859;42;33;0.56
335;1;2;16.92572092;20.95112078;18.51419548;31.19816015;0.64;0.6;0.473684211;0.555555556;25;20;19;18;30780;30698;30838;27638;7;17;39;19;;;;;38.3955339;39.6614668;41.02534597;50.0026388;;;;;8766;23851;58602;28735;;;;;82;119954;47;35;0.573170732
334;2;1;21.26843;23.57727822;24.89862781;24.36293937;0.72;0.523809524;0.541666667;0.5;25;21;24;20;27918;27899;28602;26327;5;5;32;47;1;;;;63.34497814;53.94622536;62.75720989;64.9032393;72.56193372;;;;4263;4246;39598;60878;1761;;;;90;110746;52;38;0.577777778
336;2;2;23.82821883;33.74778027;34.75754122;37.47836991;0.666666667;0.5;0.523809524;0.555555556;21;22;21;18;27996;28271;27808;23909;6;11;46;18;1;;;;38.9098667;70.67378769;83.01877674;98.7061221;88.48782534;;;;7448;12361;64102;23642;431;;;;82;107984;46;36;0.56097561
330;2;2;19.4844095;20.26760163;18.60375217;19.87367596;0.631578947;0.518518519;0.483870968;0.538461538;19;27;31;26;23119;23089;22657;20489;20;60;23;;;;;;47.47311707;75.18581104;83.7609531;;;;;;21277;50014;18063;;;;;;103;89354;55;48;0.533980583
332;1;1;36.7025418;34.1854132;41.16792179;46.95023357;0.684210526;0.454545455;0.454545455;0.571428571;19;22;22;21;22382;23007;22236;20021;2;2;2;7;50;21;;;49.80359915;91.00181066;76.23814001;70.65498012;94.250854;99.01429805;;;1781;1577;1733;9741;55977;16837;;;84;87646;45;39;0.535714286
344;1;1;20.0884889;25.72930227;28.47492068;28.88380047;0.772727273;0.45;0.45;0.625;22;20;20;16;26311;26686;26105;24848;5;4;16;44;9;;;;70.91865848;83.31422417;78.99554552;82.67219182;79.60633203;;;;5218;3904;20253;61867;12708;;;;78;103950;45;33;0.576923077
345;1;1;27.79983781;31.56652334;31.27829339;31.71723597;0.833333333;0.5;0.608695652;0.583333333;30;26;23;24;26907;27267;27132;25289;5;4;4;4;23;43;15;5;84.74485872;93.26288966;88.71536015;86.72572798;93.32827127;95.46632735;97.42497837;103.5755434;3590;2281;3573;5130;25599;45337;15935;5150;103;106595;66;37;0.640776699
346;1;2;16.45207587;19.24372782;23.46258436;25.46478649;0.772727273;0.461538462;0.476190476;0.555555556;22;26;21;18;24781;26223;24745;22939;6;4;43;34;;;;;38.79709075;54.8057712;72.40058161;77.14656396;;;;;7790;3906;45723;41269;;;;;87;98688;49;38;0.563218391
